ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
2,2016,12,4,1,Bisu,Larva,1,0,P,Z
2,2016,12,4,2,Ample,Guemchi,1,0,T,P
2,2016,12,4,3,Bisu,Ample,1,0,P,T
2,2016,12,4,4,Larva,Guemchi,0,1,Z,P
2,2016,12,4,5,Ample,Guemchi,0,1,T,P
2,2016,12,5,1,Effort,Light,1,0,Z,T
2,2016,12,5,2,Rain,Force(Name),1,0,P,Z
2,2016,12,5,3,Effort,Rain,0,1,Z,P
2,2016,12,5,4,Light,Force(Name),1,0,T,Z
2,2016,12,5,5,Effort,Light,0,1,Z,T
2,2016,12,6,1,Stork,Rush,1,0,P,T
2,2016,12,6,2,free,Miso,1,0,P,Z
2,2016,12,6,3,Stork,free,1,0,P,P
2,2016,12,6,4,Rush,Miso,1,0,T,Z
2,2016,12,6,5,free,Rush,0,1,P,T
2,2016,12,11,1,Flash,Terror,1,0,T,Z
2,2016,12,11,2,Movie,Soulkey,0,1,P,Z
2,2016,12,11,3,Flash,Soulkey,1,0,T,Z
2,2016,12,11,4,Terror,Movie,0,1,Z,P
2,2016,12,11,5,Soulkey,Movie,0,1,Z,P
2,2016,12,12,1,Jaedong,Mong,1,0,Z,T
2,2016,12,12,2,Best,Hint,1,0,P,P
2,2016,12,12,3,Jaedong,Best,0,1,Z,P
2,2016,12,12,4,Mong,Hint,1,0,T,P
2,2016,12,12,5,Jaedong,Mong,1,0,Z,T
2,2016,12,13,1,hero,Mind,1,0,Z,T
2,2016,12,13,2,Iris,Khala,1,0,T,P
2,2016,12,13,3,hero,Iris,1,0,Z,T
2,2016,12,13,4,Mind,Khala,1,0,T,P
2,2016,12,13,5,Iris,Mind,0,1,T,T
2,2016,12,18,1,Shuttle,Guemchi,0,1,P,P
2,2016,12,18,2,Light,Stork,0,1,T,P
2,2016,12,18,3,Guemchi,Stork,0,1,P,P
2,2016,12,18,4,Shuttle,Light,0,1,P,T
2,2016,12,18,5,Guemchi,Light,1,0,P,T
2,2016,12,20,1,Sharp,Mind,0,1,T,T
2,2016,12,20,2,Jaedong,Best,0,1,Z,P
2,2016,12,20,3,Mind,Best,0,1,T,P
2,2016,12,20,4,Sharp,Jaedong,0,1,T,Z
2,2016,12,20,5,Mind,Jaedong,0,1,T,Z
2,2016,12,25,1,Last,Rush,1,0,T,T
2,2016,12,25,2,Bisu,hero,1,0,P,Z
2,2016,12,25,3,Last,Bisu,0,1,T,P
2,2016,12,25,4,Rush,hero,0,1,T,Z
2,2016,12,25,5,Last,hero,0,1,T,Z
2,2016,12,27,1,Sea,Flash,0,1,T,T
2,2016,12,27,2,Movie,Rain,1,0,P,P
2,2016,12,27,3,Flash,Movie,1,0,T,P
2,2016,12,27,4,Sea,Rain,1,0,T,P
2,2016,12,27,5,Movie,Sea,0,1,P,T
2,2017,1,2,1,Bisu,Sea,0,3,P,T
2,2017,1,3,1,Best,hero,3,1,P,Z
2,2017,1,8,1,Flash,Guemchi,3,1,T,P
2,2017,1,10,1,Stork,Jaedong,0,3,P,Z
2,2017,1,15,1,Sea,Best,3,2,T,P
2,2017,1,17,1,Flash,Jaedong,3,2,T,Z
2,2017,1,22,1,Sea,Flash,1,3,T,T
