ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
17,2024,2,26,1,Light,Zelot,1,0,t,z
17,2024,2,26,2,Bisu,Sea,1,0,p,t
17,2024,2,26,3,Light,Bisu,0,1,t,p
17,2024,2,26,4,Zelot,Sea,0,1,z,t
17,2024,2,26,5,Light,Sea,1,0,t,t
17,2024,2,27,1,hero,Killer,1,0,z,z
17,2024,2,27,2,Mind,Stork,1,0,t,p
17,2024,2,27,3,hero,Mind,0,1,z,t
17,2024,2,27,4,Killer,Stork,0,1,z,p
17,2024,2,27,5,hero,Stork,1,0,z,p
17,2024,2,28,1,Best,Taenggu,1,0,p,t
17,2024,2,28,2,Action,Ssak,1,0,z,t
17,2024,2,28,3,Best,Action,1,0,p,z
17,2024,2,28,4,Taenggu,Ssak,0,1,t,t
17,2024,2,28,5,Action,Ssak,1,0,z,t
17,2024,3,4,1,Jyj,Baby,1,0,t,t
17,2024,3,4,2,Shuttle,Jaedong,1,0,p,z
17,2024,3,4,3,Jyj,Shuttle,1,0,t,p
17,2024,3,4,4,Baby,Jaedong,1,0,t,z
17,2024,3,4,5,Shuttle,Baby,1,0,p,t
17,2024,3,5,1,Snow,Speed,1,0,p,t
17,2024,3,5,2,Mong,Shine,0,1,t,z
17,2024,3,5,3,Snow,Shine,1,0,p,z
17,2024,3,5,4,Speed,Mong,0,1,t,t
17,2024,3,5,5,Shine,Mong,0,1,z,t
17,2024,3,6,1,Royal,beast,0,1,t,z
17,2024,3,6,2,Rain,Barracks,0,1,p,t
17,2024,3,6,3,beast,Barracks,0,1,z,t
17,2024,3,6,4,Royal,Rain,1,0,t,p
17,2024,3,6,5,beast,Royal,0,1,z,t
17,2024,3,18,1,Soulkey,Mong,1,0,z,t
17,2024,3,18,2,Bisu,Jyj,1,0,p,t
17,2024,3,18,3,Soulkey,Bisu,2,0,z,p
17,2024,3,18,4,Mong,Jyj,1,2,t,t
17,2024,3,18,5,Bisu,Jyj,2,0,p,t
17,2024,3,19,1,Mini,Barracks,0,1,p,t
17,2024,3,19,2,Royal,hero,0,1,t,z
17,2024,3,19,3,Barracks,hero,0,2,t,z
17,2024,3,19,4,Mini,Royal,2,0,p,t
17,2024,3,19,5,Barracks,Mini,0,2,t,p
17,2024,3,25,1,Rush,Shuttle,1,0,t,p
17,2024,3,25,2,Best,Light,1,0,p,t
17,2024,3,25,3,Rush,Best,1,2,t,p
17,2024,3,25,4,Shuttle,Light,2,1,p,t
17,2024,3,25,5,Rush,Shuttle,2,0,t,p
17,2024,3,26,1,Sharp,Mind,1,0,t,t
17,2024,3,26,2,Action,Snow,0,1,z,p
17,2024,3,26,3,Sharp,Snow,1,2,t,p
17,2024,3,26,4,Mind,Action,2,0,t,z
17,2024,3,26,5,Sharp,Mind,2,0,t,t
17,2024,4,1,1,Best,Sharp,1,3,p,t
17,2024,4,2,1,hero,Rush,3,1,z,t
17,2024,4,8,1,Snow,Bisu,3,0,p,p
17,2024,4,9,1,Soulkey,Mini,3,2,z,p
17,2024,4,15,1,Sharp,hero,1,4,t,z
17,2024,4,16,1,Snow,Soulkey,2,4,p,z
17,2024,4,27,1,hero,Soulkey,3,4,z,z
