ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
10,2020,9,6,1,Bisu,Leta,0,1,p,t
10,2020,9,6,2,Shine,Jyj,0,1,z,t
10,2020,9,6,3,Leta,Jyj,1,0,t,t
10,2020,9,6,4,Bisu,Shine,1,0,p,z
10,2020,9,6,5,Jyj,Bisu,1,0,t,p
10,2020,9,12,1,Snow,Yoon,1,0,p,z
10,2020,9,12,2,Soulkey,Ssak,1,0,z,t
10,2020,9,12,3,Snow,Soulkey,0,1,p,z
10,2020,9,12,4,Yoon,Ssak,1,0,z,t
10,2020,9,12,5,Snow,Yoon,1,0,p,z
10,2020,9,13,1,Shuttle,Barracks,1,0,p,t
10,2020,9,13,2,Best,Sacsri,1,0,p,z
10,2020,9,13,3,Shuttle,Best,1,0,p,p
10,2020,9,13,4,Barracks,Sacsri,0,1,t,z
10,2020,9,13,5,Best,Sacsri,1,0,p,z
10,2020,9,15,1,Mini,Royal,1,0,p,t
10,2020,9,15,2,hero,Killer,1,0,z,z
10,2020,9,15,3,Mini,hero,0,1,p,z
10,2020,9,15,4,Royal,Killer,1,0,t,z
10,2020,9,15,5,Mini,Royal,1,0,p,t
10,2020,9,20,1,Larva,Noob,1,0,z,p
10,2020,9,20,2,Stork,Rush,0,1,p,t
10,2020,9,20,3,Larva,Rush,0,1,z,t
10,2020,9,20,4,Noob,Stork,0,1,p,p
10,2020,9,20,5,Larva,Stork,1,0,z,p
10,2020,9,22,1,Sharp,beast,0,1,t,z
10,2020,9,22,2,Action,free,1,0,z,p
10,2020,9,22,3,beast,Action,0,1,z,z
10,2020,9,22,4,Sharp,free,0,1,t,p
10,2020,9,22,5,beast,free,0,1,z,p
10,2020,10,6,1,Queen,Leta,1,0,z,t
10,2020,10,6,2,Jyj,Rush,1,0,t,t
10,2020,10,6,3,Queen,Jyj,2,1,z,t
10,2020,10,6,4,Leta,Rush,0,2,t,t
10,2020,10,6,5,Jyj,Rush,1,2,t,t
10,2020,10,8,1,Light,Best,1,0,t,p
10,2020,10,8,2,Larva,Action,1,0,z,z
10,2020,10,8,3,Light,Larva,0,2,t,z
10,2020,10,8,4,Best,Action,2,0,p,z
10,2020,10,8,5,Light,Best,1,2,t,p
10,2020,10,11,1,Flash,free,1,0,t,p
10,2020,10,11,2,Snow,hero,1,0,p,z
10,2020,10,11,3,Flash,Snow,2,0,p,p
10,2020,10,11,4,free,hero,2,1,p,z
10,2020,10,11,5,Snow,free,2,1,p,p
10,2020,10,13,1,Soma,Mini,1,0,z,p
10,2020,10,13,2,Shuttle,Soulkey,1,0,p,z
10,2020,10,13,3,Soma,Shuttle,2,0,z,p
10,2020,10,13,4,Mini,Soulkey,1,2,p,z
10,2020,10,13,5,Shuttle,Soulkey,0,2,p,z
10,2020,10,18,1,Flash,Rush,1,0,t,t
10,2020,10,18,2,Flash,Rush,1,0,p,t
10,2020,10,18,3,Flash,Rush,1,0,z,t
10,2020,10,20,1,Soma,Snow,3,0,z,p
10,2020,10,25,1,Larva,Soulkey,3,1,z,z
10,2020,10,27,1,Queen,Best,3,0,z,p
10,2020,11,1,1,Flash,Soma,1,1,z,z
10,2020,11,1,2,Flash,Soma,1,1,t,z
10,2020,11,1,3,Flash,Soma,0,1,p,z
10,2020,11,1,4,Flash,Soma,0,1,z,z
10,2020,11,2,1,Larva,Queen,1,4,z,z
10,2020,11,7,1,Flash,Larva,1,0,t,z
10,2020,11,7,2,Flash,Larva,1,0,z,z
10,2020,11,7,3,Flash,Larva,1,0,t,z
10,2020,11,15,1,Soma,Queen,3,4,z,z
