ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
18,2024,8,26,1,Queen,1127,1,0,z,t
18,2024,8,26,2,Rain,Barracks,0,1,p,t
18,2024,8,26,3,Queen,Barracks,0,1,z,t
18,2024,8,26,4,1127,Rain,0,1,t,p
18,2024,8,26,5,Queen,Rain,0,1,z,p
18,2024,8,27,1,Mini,Scan,1,0,p,t
18,2024,8,27,2,Bisu,Ssak,1,0,p,t
18,2024,8,27,3,Mini,Bisu,0,1,p,p
18,2024,8,27,4,Scan,Ssak,0,1,t,t
18,2024,8,27,5,Mini,Ssak,1,0,p,t
18,2024,8,28,1,Rush,Motive,1,0,t,p
18,2024,8,28,2,Royal,Sacsri,0,1,t,z
18,2024,8,28,3,Rush,Sacsri,1,0,t,z
18,2024,8,28,4,Motive,Royal,0,1,p,t
18,2024,8,28,5,Sacsri,Royal,0,1,z,t
18,2024,9,2,1,Best,Speed,0,1,p,t
18,2024,9,2,2,Action,Sea,0,1,z,t
18,2024,9,2,3,Speed,Sea,1,0,t,t
18,2024,9,2,4,Best,Action,0,1,p,z
18,2024,9,2,5,Sea,Action,1,0,t,z
18,2024,9,3,1,Light,huro,1,0,t,p
18,2024,9,3,2,Shine,Jaedong,0,1,z,z
18,2024,9,3,3,Light,Jaedong,1,0,t,z
18,2024,9,3,4,huro,Shine,0,1,p,z
18,2024,9,3,5,Jaedong,Shine,1,0,z,z
18,2024,9,4,1,Jyj,free,1,0,t,p
18,2024,9,4,2,Mind,Stork,0,1,t,p
18,2024,9,4,3,Jyj,Stork,0,1,t,p
18,2024,9,4,4,free,Mind,0,1,p,t
18,2024,9,4,5,Jyj,Mind,1,0,t,t
18,2024,9,23,1,Soulkey,Sea,1,0,z,t
18,2024,9,23,2,Rush,Jyj,1,0,t,t
18,2024,9,23,3,Soulkey,Rush,2,0,z,t
18,2024,9,23,4,Sea,Jyj,0,2,t,t
18,2024,9,23,5,Rush,Jyj,2,1,t,t
18,2024,9,24,1,hero,Barracks,0,1,z,t
18,2024,9,24,2,Jaedong,Bisu,0,1,z,p
18,2024,9,24,3,Barracks,Bisu,2,0,t,p
18,2024,9,24,4,hero,Jaedong,2,1,z,z
18,2024,9,24,5,Bisu,hero,1,2,p,z
18,2024,9,30,1,Snow,Speed,0,1,p,t
18,2024,9,30,2,Rain,Mini,1,0,p,p
18,2024,9,30,3,Speed,Rain,0,2,t,p
18,2024,9,30,4,Snow,Mini,2,0,p,p
18,2024,9,30,5,Speed,Snow,1,2,t,p
18,2024,10,1,1,Sharp,Stork,1,0,t,p
18,2024,10,1,2,Royal,Light,1,0,t,t
18,2024,10,1,3,Sharp,Royal,2,0,t,t
18,2024,10,1,4,Stork,Light,0,2,p,t
18,2024,10,1,5,Royal,Light,1,2,t,t
18,2024,10,7,1,Barracks,Snow,1,4,t,p
18,2024,10,8,1,Light,Soulkey,2,4,t,z
18,2024,10,14,1,Rain,Rush,4,0,p,t
18,2024,10,15,1,hero,Sharp,2,4,z,t
18,2024,10,21,1,Snow,Soulkey,0,4,p,z
18,2024,10,22,1,Rain,Sharp,1,4,p,t
18,2024,11,2,1,Soulkey,Sharp,4,1,z,t
