ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
3,2017,4,11,1,Shuttle,Purpose,1,0,P,Z
3,2017,4,11,2,Soulkey,Mong,0,1,Z,T
3,2017,4,11,3,Shuttle,Mong,0,1,P,T
3,2017,4,11,4,Purpose,Soulkey,0,1,Z,Z
3,2017,4,11,5,Shuttle,Soulkey,0,1,P,Z
3,2017,4,12,1,Effort,Snow,1,0,Z,P
3,2017,4,12,2,Shine,Free,1,0,Z,P
3,2017,4,12,3,Effort,Shine,1,0,Z,Z
3,2017,4,12,4,Snow,Free,1,0,P,P
3,2017,4,12,5,Shine,Snow,1,0,Z,P
3,2017,4,16,1,Bisu,Mini,1,0,P,P
3,2017,4,16,2,Light,Jaehoon,0,1,T,P
3,2017,4,16,3,Bisu,Jaehoon,1,0,P,P
3,2017,4,16,4,Mini,Light,0,1,P,T
3,2017,4,16,5,Jaehoon,Light,1,0,P,T
3,2017,4,18,1,hero,Lazy,1,0,Z,P
3,2017,4,18,2,Rain,Ssak,0,1,P,T
3,2017,4,18,3,hero,Ssak,0,1,Z,T
3,2017,4,18,4,Rain,Lazy,1,0,P,P
3,2017,4,18,5,hero,Rain,1,0,Z,P
3,2017,4,23,1,Guemchi,ggaemo,0,1,P,Z
3,2017,4,23,2,Pusan,Stork,1,0,P,P
3,2017,4,23,3,ggaemo,Pusan,1,0,Z,P
3,2017,4,23,4,Guemchi,Stork,1,0,P,P
3,2017,4,23,5,Pusan,Guemchi,0,1,P,P
3,2017,4,25,1,Last,Hyun,1,0,T,Z
3,2017,4,25,2,Movie,Larva,0,1,P,Z
3,2017,4,25,3,Last,Larva,1,0,T,Z
3,2017,4,25,4,Hyun,Movie,1,0,Z,P
3,2017,4,25,5,Larva,Hyun,0,1,Z,Z
3,2017,4,30,1,Flash,Hyun,1,0,T,Z
3,2017,4,30,2,Shine,ggaemo,1,0,Z,Z
3,2017,4,30,3,Flash,Shine,1,0,T,Z
3,2017,4,30,4,Hyun,ggaemo,1,0,Z,Z
3,2017,4,30,5,Shine,Hyun,1,0,Z,Z
3,2017,5,2,1,Sea,Effort,0,1,T,Z
3,2017,5,2,2,Bisu,Soulkey,0,1,P,Z
3,2017,5,2,3,Effort,Soulkey,0,1,Z,Z
3,2017,5,2,4,Sea,Bisu,0,1,T,P
3,2017,5,2,5,Effort,Bisu,0,1,Z,P
3,2017,5,7,1,Best,Mong,0,1,P,T
3,2017,5,7,2,Guemchi,Jaehoon,1,0,P,P
3,2017,5,7,3,Mong,Guemchi,1,0,T,P
3,2017,5,7,4,Best,Jaehoon,1,0,P,P
3,2017,5,7,5,Guemchi,Best,0,1,P,P
3,2017,5,9,1,Jaedong,Ssak,0,1,Z,T
3,2017,5,9,2,Last,hero,1,0,T,Z
3,2017,5,9,3,Ssak,Last,1,0,T,T
3,2017,5,9,4,Jaedong,hero,1,0,Z,Z
3,2017,5,9,5,Last,Jaedong,1,0,T,Z
3,2017,5,14,1,Ssak,Bisu,2,3,T,P
3,2017,5,16,1,Mong,Shine,1,3,T,Z
3,2017,5,21,1,Soulkey,Best,3,2,Z,P
3,2017,5,23,1,Flash,Last,3,0,T,T
3,2017,5,27,1,Bisu,Shine,1,3,P,Z
3,2017,5,28,1,Soulkey,Flash,2,3,Z,T
3,2017,5,30,1,Bisu,Soulkey,3,1,P,Z
3,2017,6,4,1,Shine,Flash,0,3,Z,T
