ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
4,2017,9,10,1,Killer,Sky,1,0,Z,P
4,2017,9,10,2,Larva,Light,1,0,Z,T
4,2017,9,10,3,Larva,Killer,0,1,Z,Z
4,2017,9,10,4,Light,Sky,1,0,T,P
4,2017,9,10,5,Larva,Light,1,0,Z,T
4,2017,9,11,1,Last,Miso,1,0,T,Z
4,2017,9,11,2,Ssak,Stork,1,0,T,P
4,2017,9,11,3,Ssak,Last,1,0,T,T
4,2017,9,11,4,Stork,Miso,1,0,P,Z
4,2017,9,11,5,Last,Stork,0,1,T,P
4,2017,9,12,1,Effort,Lazy,1,0,Z,P
4,2017,9,12,2,Mind,Rush,0,1,T,T
4,2017,9,12,3,Effort,Rush,1,0,Z,T
4,2017,9,12,4,Lazy,Mind,0,1,P,T
4,2017,9,12,5,Rush,Mind,0,1,T,T
4,2017,9,18,1,Best,Ample,1,0,P,T
4,2017,9,18,2,Mong,Rain,1,0,T,P
4,2017,9,18,3,Best,Mong,0,1,P,T
4,2017,9,18,4,Ample,Rain,0,1,T,P
4,2017,9,18,5,Best,Rain,0,1,P,P
4,2017,9,19,1,Shuttle,firebathero,1,0,P,T
4,2017,9,19,2,hero,Snow,1,0,Z,P
4,2017,9,19,3,Shuttle,hero,1,0,P,Z
4,2017,9,19,4,firebathero,Snow,0,1,T,P
4,2017,9,19,5,hero,Snow,1,0,Z,P
4,2017,9,20,1,Sharp,Mini,1,0,T,P
4,2017,9,20,2,Jaedong,Hiya,1,0,Z,T
4,2017,9,20,3,Jaedong,Sharp,0,1,Z,T
4,2017,9,20,4,Hiya,Mini,0,1,T,P
4,2017,9,20,5,Jaedong,Mini,1,0,Z,P
4,2017,9,24,1,Flash,Killer,1,0,T,Z
4,2017,9,24,2,Mong,Sharp,0,1,T,T
4,2017,9,24,3,Flash,Sharp,1,0,T,T
4,2017,9,24,4,Killer,Mong,1,0,Z,T
4,2017,9,24,5,Sharp,Killer,0,1,T,Z
4,2017,9,26,1,Shine,Larva,0,1,Z,Z
4,2017,9,26,2,Effort,hero,1,0,Z,Z
4,2017,9,26,3,Larva,Effort,1,0,Z,Z
4,2017,9,26,4,Shine,hero,0,1,Z,Z
4,2017,9,26,5,Effort,hero,0,1,Z,Z
4,2017,10,8,1,Bisu,Mind,1,0,P,T
4,2017,10,8,2,Shuttle,Ssak,1,0,P,T
4,2017,10,8,3,Shuttle,Bisu,0,1,P,P
4,2017,10,8,4,Ssak,Mind,0,1,T,T
4,2017,10,8,5,Shuttle,Mind,0,1,P,T
4,2017,10,10,1,Soulkey,Rain,1,0,Z,P
4,2017,10,10,2,Stork,Jaedong,0,1,P,Z
4,2017,10,10,3,Soulkey,Jaedong,1,0,Z,Z
4,2017,10,10,4,Rain,Stork,1,0,P,P
4,2017,10,10,5,Jaedong,Rain,0,1,Z,P
4,2017,10,15,1,Larva,Rain,3,1,Z,P
4,2017,10,17,1,Soulkey,hero,2,3,Z,Z
4,2017,10,22,1,Bisu,Killer,3,0,P,Z
4,2017,10,24,1,Flash,Mind,3,0,T,T
4,2017,10,29,1,Larva,hero,2,3,Z,Z
4,2017,10,31,1,Bisu,Flash,1,3,P,T
4,2017,11,7,1,Larva,Bisu,1,3,Z,P
4,2017,11,12,1,hero,Flash,1,3,Z,T
