ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
13,2022,2,8,1,Best,beast,1,0,p,z
13,2022,2,8,2,Shuttle,Barracks,1,0,p,t
13,2022,2,8,3,Best,Shuttle,1,0,p,p
13,2022,2,8,4,beast,Barracks,1,0,z,t
13,2022,2,8,5,Shuttle,beast,1,0,p,z
13,2022,2,9,1,Light,Tyson,1,0,t,p
13,2022,2,9,2,Bisu,Sacsri,1,0,p,z
13,2022,2,9,3,Light,Bisu,0,1,t,p
13,2022,2,9,4,Tyson,Sacsri,0,1,p,z
13,2022,2,9,5,Light,Sacsri,1,0,t,z
13,2022,2,10,1,Rain,Bishop,1,0,p,t
13,2022,2,10,2,Action,Horang2,1,0,z,p
13,2022,2,10,3,Rain,Action,1,0,p,z
13,2022,2,10,4,Bishop,Horang2,0,1,t,p
13,2022,2,10,5,Action,Horang2,1,0,z,p
13,2022,2,15,1,Snow,ggaemo,0,1,p,z
13,2022,2,15,2,Royal,Guemchi,1,0,t,p
13,2022,2,15,3,Royal,ggaemo,1,0,t,z
13,2022,2,15,4,Snow,Guemchi,1,0,p,p
13,2022,2,15,5,ggaemo,Snow,1,0,z,p
13,2022,2,16,1,Soma,Ruin,1,0,z,p
13,2022,2,16,2,Jyj,Ssak,1,0,t,t
13,2022,2,16,3,Soma,Jyj,0,1,z,t
13,2022,2,16,4,Ruin,Ssak,0,1,p,t
13,2022,2,16,5,Soma,Ssak,1,0,z,t
13,2022,2,17,1,Soulkey,Movie,1,0,z,p
13,2022,2,17,2,Mong,Jaedong,0,1,t,z
13,2022,2,17,3,Soulkey,Jaedong,0,1,z,z
13,2022,2,17,4,Movie,Mong,0,1,p,t
13,2022,2,17,5,Soulkey,Mong,1,0,z,t
13,2022,3,1,1,Mini,Light,0,1,p,t
13,2022,3,1,2,Royal,Rain,0,1,t,p
13,2022,3,1,3,Light,Rain,1,2,t,p
13,2022,3,1,4,Mini,Royal,2,1,p,t
13,2022,3,1,5,Light,Mini,2,1,t,p
13,2022,3,2,1,Rush,ggaemo,1,0,t,z
13,2022,3,2,2,Action,Shuttle,1,0,z,p
13,2022,3,2,3,Rush,Action,0,2,t,z
13,2022,3,2,4,ggaemo,Shuttle,0,2,z,p
13,2022,3,2,5,Rush,Shuttle,2,1,t,p
13,2022,3,8,1,hero,Jyj,0,1,z,t
13,2022,3,8,2,Jaedong,Soulkey,1,0,z,z
13,2022,3,8,3,Jyj,Jaedong,2,0,t,z
13,2022,3,8,4,hero,Soulkey,0,2,z,z
13,2022,3,8,5,Jaedong,Soulkey,0,2,z,z
13,2022,3,9,1,Queen,Bisu,0,1,z,p
13,2022,3,9,2,Best,Soma,0,1,p,z
13,2022,3,9,3,Bisu,Soma,0,2,p,z
13,2022,3,9,4,Queen,Best,2,0,z,p
13,2022,3,9,5,Bisu,Queen,2,1,p,z
13,2022,3,29,1,Rain,Soulkey,3,2,p,z
13,2022,3,16,1,Soma,Rush,3,0,z,t
13,2022,3,22,1,Action,Light,1,3,z,t
13,2022,3,23,1,Jyj,Bisu,2,3,t,p
13,2022,4,3,1,Rain,Soma,4,2,p,z
13,2022,3,30,1,Light,Bisu,4,2,t,p
13,2022,4,5,1,Soma,Bisu,2,3,z,p
13,2022,4,9,1,Rain,Light,0,4,p,t
