ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
12,2021,8,28,1,Sharp,Noob,0,1,t,p
12,2021,8,28,2,Soulkey,Ss1nz,1,0,z,p
12,2021,8,28,3,Noob,Soulkey,0,1,p,z
12,2021,8,28,4,Sharp,Ss1nz,1,0,t,p
12,2021,8,28,5,Noob,Sharp,1,0,p,t
12,2021,9,1,1,Best,815,1,0,p,z
12,2021,9,1,2,Ssak,free,0,1,t,p
12,2021,9,1,3,Best,free,0,1,p,p
12,2021,9,1,4,815,Ssak,1,0,z,t
12,2021,9,1,5,Best,815,0,1,p,z
12,2021,9,7,1,Snow,Hyuk,1,0,p,z
12,2021,9,7,2,Jyj,Movie,1,0,t,p
12,2021,9,7,3,Snow,Jyj,1,0,p,t
12,2021,9,7,4,Hyuk,Movie,0,1,z,p
12,2021,9,7,5,Jyj,Movie,1,0,t,p
12,2021,9,8,1,Soma,Hyun,1,0,z,z
12,2021,9,8,2,Mong,Barracks,0,1,t,t
12,2021,9,8,3,Soma,Barracks,1,0,z,t
12,2021,9,8,4,Hyun,Mong,1,0,z,t
12,2021,9,8,5,Barracks,Hyun,1,0,t,z
12,2021,9,12,1,Action,Leta,0,1,z,t
12,2021,9,12,2,Stork,beast,1,0,p,z
12,2021,9,12,3,Leta,Stork,0,1,t,p
12,2021,9,12,4,Action,beast,0,1,z,z
12,2021,9,12,5,Leta,beast,0,1,t,z
12,2021,9,14,1,Light,Ruin,1,0,t,p
12,2021,9,14,2,Shine,Royal,1,0,z,t
12,2021,9,14,3,Light,Shine,1,0,t,z
12,2021,9,14,4,Ruin,Royal,0,1,p,t
12,2021,9,14,5,Shine,Royal,0,1,z,t
12,2021,9,26,1,Mini,815,0,1,p,z
12,2021,9,26,2,Soma,Jyj,1,0,z,t
12,2021,9,26,3,815,Soma,1,2,z,z
12,2021,9,26,4,Mini,Jyj,2,0,p,t
12,2021,9,26,5,815,Mini,0,2,z,p
12,2021,9,28,1,hero,Noob,1,0,z,p
12,2021,9,28,2,free,Royal,0,1,p,t
12,2021,9,28,3,hero,Royal,1,2,z,t
12,2021,9,28,4,Noob,free,0,2,p,p
12,2021,9,28,5,hero,free,2,0,z,p
12,2021,10,4,1,Queen,Stork,1,0,z,p
12,2021,10,4,2,Light,Snow,1,0,t,p
12,2021,10,4,3,Queen,Light,0,2,z,t
12,2021,10,4,4,Stork,Snow,1,2,p,p
12,2021,10,4,5,Queen,Snow,2,1,z,p
12,2021,10,5,1,Rush,Barracks,1,0,t,t
12,2021,10,5,2,beast,Soulkey,0,1,z,z
12,2021,10,5,3,Rush,Soulkey,0,2,t,z
12,2021,10,5,4,Barracks,beast,2,0,t,z
12,2021,10,5,5,Rush,Barracks,2,0,t,t
12,2021,10,10,1,Soulkey,Queen,2,3,z,z
12,2021,10,12,1,Royal,Mini,0,3,t,p
12,2021,10,17,1,Soma,Rush,1,3,z,t
12,2021,10,19,1,Light,hero,1,3,t,z
12,2021,10,24,1,Queen,Mini,1,4,z,p
12,2021,10,26,1,Rush,hero,4,1,t,z
12,2021,10,31,1,Queen,hero,1,3,z,z
12,2021,11,7,1,Mini,Rush,4,3,p,t
