ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
1,2016,7,17,1,Effort,Shuttle,0,1,Z,P
1,2016,7,17,2,Sharp,Piano,1,0,T,T
1,2016,7,17,3,Queen,Flash,0,1,Z,T
1,2016,7,17,4,Last,Mong,1,0,T,T
1,2016,7,19,1,free,Ssak,1,0,P,T
1,2016,7,19,2,Larva,Jaehoon,0,1,Z,P
1,2016,7,19,3,Mind,Sea,1,0,T,T
1,2016,7,19,4,Best,hero,0,1,P,Z
1,2016,7,24,1,Effort,free,1,0,Z,P
1,2016,7,24,2,Sharp,Larva,1,0,T,Z
1,2016,7,24,3,Queen,Mind,1,0,Z,T
1,2016,7,24,4,Last,Best,1,0,T,P
1,2016,7,26,1,Shuttle,Ssak,0,1,P,T
1,2016,7,26,2,Piano,Jaehoon,1,0,T,P
1,2016,7,26,3,Flash,Sea,0,1,T,T
1,2016,7,26,4,Mong,hero,0,1,T,Z
1,2016,7,31,1,Effort,Ssak,0,1,Z,T
1,2016,7,31,2,Sharp,Jaehoon,0,1,T,P
1,2016,7,31,3,Queen,Sea,0,1,Z,T
1,2016,7,31,4,Last,hero,1,0,T,Z
1,2016,8,2,1,Shuttle,free,1,0,P,P
1,2016,8,2,2,Piano,Larva,1,0,T,Z
1,2016,8,2,3,Flash,Mind,1,0,T,T
1,2016,8,2,4,Mong,Best,0,1,T,P
1,2016,8,7,1,Jaehoon,Sharp,0,1,P,T
1,2016,8,7,2,Jaehoon,Piano,1,0,P,T
1,2016,8,7,3,Sharp,Piano,0,1,T,T
1,2016,8,7,4,Jaehoon,Sharp,1,0,P,T
1,2016,8,7,5,Jaehoon,Piano,1,0,P,T
1,2016,8,7,6,Sharp,Piano,1,0,T,T
1,2016,8,14,1,Ssak,Sharp,1,3,T,T
1,2016,8,16,1,Sea,hero,3,2,T,Z
1,2016,8,21,1,Shuttle,Jaehoon,3,1,P,P
1,2016,8,22,1,Last,Flash,3,0,T,T
1,2016,8,28,1,Sharp,Sea,3,2,T,T
1,2016,8,29,1,Shuttle,Last,3,1,P,T
1,2016,9,10,1,Sharp,Shuttle,0,3,T,P
