ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
19,2025,3,24,1,Mini,Scan,1,0,p,t
19,2025,3,24,2,Shuttle,Calm,0,1,p,z
19,2025,3,24,3,Mini,Calm,1,0,p,z
19,2025,3,24,4,Scan,Shuttle,1,0,t,p
19,2025,3,24,5,Calm,Scan,0,1,z,t
19,2025,3,25,1,Rush,Hyun,1,0,t,z
19,2025,3,25,2,Royal,Speed,0,1,t,t
19,2025,3,25,3,Rush,Speed,0,1,t,t
19,2025,3,25,4,Hyun,Royal,1,0,z,t
19,2025,3,25,5,Rush,Hyun,1,0,t,z
19,2025,3,26,1,Best,BTS,0,1,p,z
19,2025,3,26,2,Mind,Barracks,0,1,t,t
19,2025,3,26,3,BTS,Barracks,0,1,z,t
19,2025,3,26,4,Best,Mind,1,0,p,t
19,2025,3,26,5,BTS,Best,0,1,z,p
19,2025,3,31,1,Light,Tyson,1,0,t,p
19,2025,3,31,2,Bisu,Killer,0,1,p,z
19,2025,3,31,3,Light,Killer,1,0,t,z
19,2025,3,31,4,Tyson,Bisu,0,1,p,p
19,2025,3,31,5,Killer,Bisu,0,1,z,p
19,2025,4,1,1,Queen,Skey,1,0,z,t
19,2025,4,1,2,Jaedong,Stork,0,1,z,p
19,2025,4,1,3,Queen,Stork,1,0,z,p
19,2025,4,1,4,Skey,Jaedong,0,1,t,z
19,2025,4,1,5,Stork,Jaedong,0,1,p,z
19,2025,4,2,1,hero,huro,1,0,z,p
19,2025,4,2,2,Action,Ssak,0,1,z,t
19,2025,4,2,3,hero,Ssak,1,0,z,t
19,2025,4,2,4,huro,Action,0,1,p,z
19,2025,4,2,5,Ssak,Action,0,1,t,z
19,2025,4,14,1,Soulkey,Scan,1,0,z,t
19,2025,4,14,2,Barracks,Light,0,1,t,t
19,2025,4,14,3,Soulkey,Light,2,1,z,t
19,2025,4,14,4,Scan,Barracks,0,2,t,t
19,2025,4,14,5,Light,Barracks,2,0,t,t
19,2025,4,15,1,Sharp,Speed,0,1,t,t
19,2025,4,15,2,Jaedong,Best,1,0,z,p
19,2025,4,15,3,Speed,Jaedong,0,2,t,z
19,2025,4,15,4,Sharp,Best,0,2,t,p
19,2025,4,15,5,Speed,Best,0,2,t,p
19,2025,4,21,1,Rain,Action,1,0,p,z
19,2025,4,21,2,Bisu,Queen,0,1,p,z
19,2025,4,21,3,Rain,Queen,0,2,p,z
19,2025,4,21,4,Action,Bisu,2,0,z,p
19,2025,4,21,5,Rain,Action,2,1,p,z
19,2025,4,22,1,Snow,Rush,1,0,p,t
19,2025,4,22,2,hero,Mini,0,1,z,p
19,2025,4,22,3,Snow,Mini,2,0,p,p
19,2025,4,22,4,Rush,hero,2,1,t,z
19,2025,4,22,5,Mini,Rush,0,2,p,t
19,2025,4,28,1,Queen,Best,3,4,z,p
19,2025,4,29,1,Jaedong,Light,1,4,z,t
19,2025,5,5,1,Snow,Rain,4,2,p,p
19,2025,5,6,1,Soulkey,Rush,4,1,z,t
19,2025,5,12,1,Best,Light,4,3,p,t
19,2025,5,13,1,Snow,Soulkey,3,4,p,z
19,2025,5,25,1,Best,Soulkey,3,4,p,z
