ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
5,2018,3,11,1,Shuttle,Sky,0,1,P,P
5,2018,3,11,2,Light,Shine,0,1,T,Z
5,2018,3,11,3,Shine,Sky,1,0,Z,P
5,2018,3,11,4,Shuttle,Light,1,0,P,T
5,2018,3,11,5,Sky,Shuttle,0,1,P,P
5,2018,3,13,1,Effort,Horang2,0,1,Z,P
5,2018,3,13,2,Stork,Guemchi,1,0,P,P
5,2018,3,13,3,Horang2,Stork,0,1,P,P
5,2018,3,13,4,Effort,Guemchi,1,0,Z,P
5,2018,3,13,5,Horang2,Effort,0,1,P,Z
5,2018,3,18,1,Best,Calm,0,1,P,Z
5,2018,3,18,2,Rush,Mind,0,1,T,T
5,2018,3,18,3,Calm,Mind,0,1,Z,T
5,2018,3,18,4,Best,Rush,1,0,P,T
5,2018,3,18,5,Calm,Best,0,1,Z,P
5,2018,3,20,1,Last,Miso,0,1,T,Z
5,2018,3,20,2,Snow,Mong,1,0,P,T
5,2018,3,20,3,Miso,Snow,1,0,Z,P
5,2018,3,20,4,Last,Mong,1,0,T,T
5,2018,3,20,5,Snow,Last,1,0,P,T
5,2018,3,25,1,Sharp,Action,0,1,T,Z
5,2018,3,25,2,Mini,Soulkey,1,0,P,Z
5,2018,3,25,3,Action,Mini,0,1,Z,P
5,2018,3,25,4,Sharp,Soulkey,0,1,T,Z
5,2018,3,25,5,Action,Soulkey,1,0,Z,Z
5,2018,3,27,1,Sea,Pusan,1,0,T,P
5,2018,3,27,2,Movie,Jaedong,0,1,P,Z
5,2018,3,27,3,Sea,Jaedong,0,1,T,Z
5,2018,3,27,4,Pusan,Movie,0,1,P,P
5,2018,3,27,5,Sea,Movie,0,1,T,P
5,2018,4,1,1,Flash,Mind,1,0,T,T
5,2018,4,1,2,Miso,Shine,0,1,Z,Z
5,2018,4,1,3,Flash,Shine,1,0,T,Z
5,2018,4,1,4,Mind,Miso,1,0,T,Z
5,2018,4,1,5,Shine,Mind,0,1,Z,T
5,2018,4,3,1,hero,Best,1,0,Z,P
5,2018,4,3,2,Stork,Snow,0,1,P,P
5,2018,4,3,3,hero,Snow,1,0,Z,P
5,2018,4,3,4,Stork,Best,0,1,P,P
5,2018,4,3,5,Best,Snow,0,1,P,P
5,2018,4,15,1,Larva,Jaedong,1,0,Z,Z
5,2018,4,15,2,Shuttle,Effort,1,0,P,Z
5,2018,4,15,3,Shuttle,Larva,1,0,P,Z
5,2018,4,15,4,Jaedong,Effort,0,1,Z,Z
5,2018,4,15,5,Larva,Effort,1,0,Z,Z
5,2018,4,17,1,Rain,Action,0,1,P,Z
5,2018,4,17,2,Movie,Mini,0,1,P,P
5,2018,4,17,3,Action,Mini,0,1,Z,P
5,2018,4,17,4,Rain,Movie,1,0,P,P
5,2018,4,17,5,Action,Rain,0,1,Z,P
5,2018,4,22,1,Shuttle,Rain,1,3,P,P
5,2018,4,24,1,hero,Mind,3,2,Z,T
5,2018,4,29,1,Mini,Larva,3,0,P,Z
5,2018,5,1,1,Flash,Snow,2,3,T,P
5,2018,5,6,1,Rain,hero,3,1,P,Z
5,2018,5,10,1,Mini,Snow,1,3,P,P
5,2018,5,13,1,hero,Mini,3,2,Z,P
5,2018,5,27,1,Rain,Snow,3,1,P,P
