ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
14,2022,8,9,1,Mini,Piano,1,0,p,t
14,2022,8,9,2,Best,Sacsri,1,0,p,z
14,2022,8,9,3,Mini,Best,0,1,p,p
14,2022,8,9,4,Piano,Sacsri,0,1,t,z
14,2022,8,9,5,Mini,Sacsri,1,0,p,z
14,2022,8,10,1,hero,ggaemo,1,0,z,z
14,2022,8,10,2,Shuttle,Barracks,0,1,p,t
14,2022,8,10,3,hero,Barracks,1,0,z,t
14,2022,8,10,4,ggaemo,Shuttle,0,1,z,p
14,2022,8,10,5,Barracks,Shuttle,1,0,t,p
14,2022,8,11,1,Queen,Miso,1,0,z,z
14,2022,8,11,2,Sharp,Royal,1,0,t,t
14,2022,8,11,3,Queen,Sharp,1,0,z,t
14,2022,8,11,4,Miso,Royal,0,1,z,t
14,2022,8,11,5,Sharp,Royal,0,1,t,t
14,2022,8,16,1,Soulkey,Ddasik,1,0,z,z
14,2022,8,16,2,Jyj,Ssak,0,1,t,t
14,2022,8,16,3,Soulkey,Ssak,1,0,z,t
14,2022,8,16,4,Ddasik,Jyj,0,1,z,t
14,2022,8,16,5,Ssak,Jyj,1,0,t,t
14,2022,8,17,1,Snow,Hiya,1,0,p,t
14,2022,8,17,2,Shine,Jaedong,1,0,z,z
14,2022,8,17,3,Snow,Shine,1,0,p,z
14,2022,8,17,4,Hiya,Jaedong,0,1,t,z
14,2022,8,17,5,Shine,Jaedong,1,0,z,z
14,2022,8,18,1,Rush,free,1,0,t,p
14,2022,8,18,2,Mong,Horang2,0,1,t,p
14,2022,8,18,3,Rush,Horang2,1,0,t,p
14,2022,8,18,4,free,Mong,0,1,p,t
14,2022,8,18,5,Horang2,Mong,0,1,p,t
14,2022,8,30,1,Light,Barracks,1,0,t,t
14,2022,8,30,2,Mong,Shine,0,1,t,z
14,2022,8,30,3,Light,Shine,2,1,t,z
14,2022,8,30,4,Barracks,Mong,2,1,t,t
14,2022,8,30,5,Shine,Barracks,2,1,z,t
14,2022,8,31,1,Bisu,Ssak,1,0,p,t
14,2022,8,31,2,Rush,Best,0,1,t,p
14,2022,8,31,3,Bisu,Best,2,1,p,p
14,2022,8,31,4,Ssak,Rush,0,2,t,t
14,2022,8,31,5,Best,Rush,1,2,p,t
14,2022,9,6,1,Soma,Snow,0,1,z,p
14,2022,9,6,2,Queen,Soulkey,1,0,z,z
14,2022,9,6,3,Snow,Queen,2,1,p,z
14,2022,9,6,4,Soma,Soulkey,1,2,z,z
14,2022,9,6,5,Queen,Soulkey,0,2,z,z
14,2022,9,7,1,Action,Royal,0,1,z,t
14,2022,9,7,2,hero,Mini,1,0,z,p
14,2022,9,7,3,Royal,hero,2,0,t,z
14,2022,9,7,4,Action,Mini,0,2,z,p
14,2022,9,7,5,hero,Mini,2,1,z,p
14,2022,9,13,1,Royal,Shine,3,0,t,z
14,2022,9,14,1,Bisu,Soulkey,2,3,p,z
14,2022,9,20,1,Light,Rush,2,3,t,t
14,2022,9,21,1,Snow,hero,0,3,p,z
14,2022,9,27,1,Royal,Soulkey,4,3,t,z
14,2022,9,28,1,Rush,hero,4,3,t,z
14,2022,10,2,1,Soulkey,hero,3,2,z,z
14,2022,10,8,1,Royal,Rush,4,2,t,t
