ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
9,2020,2,16,1,Bisu,Beast,1,0,p,z
9,2020,2,16,2,Horang2,Ample,1,0,p,t
9,2020,2,16,3,Bisu,Horang2,0,1,p,p
9,2020,2,16,4,Beast,Ample,0,1,z,t
9,2020,2,16,5,Bisu,Ample,1,0,p,t
9,2020,2,18,1,Larva,huro,1,0,z,p
9,2020,2,18,2,Stork,Jyj,1,0,p,t
9,2020,2,18,3,Larva,Stork,0,1,z,p
9,2020,2,18,4,huro,Jyj,1,0,p,t
9,2020,2,18,5,Larva,huro,1,0,z,p
9,2020,2,23,1,Soulkey,Ss1nz,1,0,z,p
9,2020,2,23,2,Mong,firebathero,1,0,t,t
9,2020,2,23,3,Soulkey,Mong,1,0,z,t
9,2020,2,23,4,Ss1nz,firebathero,1,0,p,t
9,2020,2,23,5,Mong,Ss1nz,1,0,t,p
9,2020,2,25,1,Mind,Brain,0,1,t,p
9,2020,2,25,2,Light,ForGG,1,0,t,t
9,2020,2,25,3,Brain,Light,1,0,p,t
9,2020,2,25,4,Mind,ForGG,0,1,t,t
9,2020,2,25,5,Light,ForGG,1,0,t,t
9,2020,3,1,1,Best,Royal,1,0,p,t
9,2020,3,1,2,Killer,Soma,0,1,z,z
9,2020,3,1,3,Best,Soma,0,1,p,z
9,2020,3,1,4,Royal,Killer,1,0,t,z
9,2020,3,1,5,Best,Royal,1,0,p,t
9,2020,3,3,1,Mini,Barracks,0,1,p,t
9,2020,3,3,2,Rush,Queen,1,0,t,z
9,2020,3,3,3,Barracks,Rush,1,0,t,t
9,2020,3,3,4,Mini,Queen,0,1,p,z
9,2020,3,3,5,Rush,Queen,0,1,t,z
9,2020,3,15,1,Flash,Mong,1,0,t,t
9,2020,3,15,2,Light,Barracks,1,0,t,t
9,2020,3,15,3,Flash,Light,2,0,t,t
9,2020,3,15,4,Mong,Barracks,2,0,t,t
9,2020,3,15,5,Light,Mong,2,0,t,t
9,2020,3,17,1,Snow,Stork,0,1,p,p
9,2020,3,17,2,Horang2,Larva,0,1,p,z
9,2020,3,17,3,Stork,Larva,2,1,p,z
9,2020,3,17,4,Snow,Horang2,2,0,p,p
9,2020,3,17,5,Larva,Snow,2,1,z,p
9,2020,3,22,1,Action,Brain,1,0,z,p
9,2020,3,22,2,Soma,Soulkey,1,0,z,z
9,2020,3,22,3,Action,Soma,1,2,z,z
9,2020,3,22,4,Brain,Soulkey,2,1,p,z
9,2020,3,22,5,Action,Brain,2,0,z,p
9,2020,3,24,1,Sharp,Best,0,1,t,p
9,2020,3,24,2,Queen,Bisu,1,0,z,p
9,2020,3,24,3,Best,Queen,0,2,p,z
9,2020,3,24,4,Sharp,Bisu,1,2,t,p
9,2020,3,24,5,Best,Bisu,1,2,p,p
9,2020,3,29,1,Flash,Action,3,2,t,z
9,2020,3,31,1,Queen,Larva,3,2,z,z
9,2020,4,5,1,Stork,Light,2,3,p,t
9,2020,4,7,1,Soma,Bisu,3,2,z,p
9,2020,4,12,1,Flash,Queen,2,3,t,z
9,2020,4,14,1,Light,Soma,3,1,t,z
9,2020,4,19,1,Flash,Soma,3,0,t,z
9,2020,4,26,1,Queen,Light,4,1,z,t
