ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
15,2023,2,28,1,Mini,Hiya,1,0,p,t
15,2023,2,28,2,Action,Ssak,1,0,z,t
15,2023,2,28,3,Mini,Action,0,1,p,z
15,2023,2,28,4,Hiya,Ssak,0,1,t,t
15,2023,2,28,5,Mini,Ssak,0,1,p,t
15,2023,3,1,1,Bisu,Hyun,1,0,p,z
15,2023,3,1,2,Sharp,Barracks,0,1,t,t
15,2023,3,1,3,Bisu,Barracks,1,0,p,t
15,2023,3,1,4,Hyun,Sharp,1,0,z,t
15,2023,3,1,5,Barracks,Hyun,1,0,t,z
15,2023,3,3,1,Soma,Ample,0,1,z,t
15,2023,3,3,2,Best,Mind,1,0,p,t
15,2023,3,3,3,Ample,Best,0,1,t,p
15,2023,3,3,4,Soma,Mind,0,1,z,t
15,2023,3,3,5,Ample,Mind,0,1,t,t
15,2023,3,5,1,Snow,Bishop,1,0,p,t
15,2023,3,5,2,Shuttle,Jaedong,0,1,p,z
15,2023,3,5,3,Snow,Jaedong,1,0,p,z
15,2023,3,5,4,Bishop,Shuttle,1,0,t,p
15,2023,3,5,5,Jaedong,Bishop,1,0,z,t
15,2023,3,6,1,Queen,Ruin,1,0,z,p
15,2023,3,6,2,Shine,Mong,1,0,z,t
15,2023,3,6,3,Queen,Shine,1,0,z,z
15,2023,3,6,4,Ruin,Mong,1,0,p,t
15,2023,3,6,5,Shine,Ruin,1,0,z,p
15,2023,3,8,1,Light,Sacsri,1,0,t,z
15,2023,3,8,2,Jyj,Stork,0,1,t,p
15,2023,3,8,3,Light,Stork,1,0,t,p
15,2023,3,8,4,Sacsri,Jyj,0,1,z,t
15,2023,3,8,5,Stork,Jyj,0,1,p,t
15,2023,3,22,1,Royal,Shine,0,1,t,z
15,2023,3,22,2,Jaedong,Action,1,0,z,z
15,2023,3,22,3,Shine,Jaedong,1,2,z,z
15,2023,3,22,4,Royal,Action,0,2,t,z
15,2023,3,22,5,Shine,Action,0,2,z,z
15,2023,3,23,1,Rush,Barracks,1,0,t,t
15,2023,3,23,2,Queen,Jyj,0,1,z,t
15,2023,3,23,3,Rush,Jyj,1,2,t,t
15,2023,3,23,4,Barracks,Queen,0,2,t,z
15,2023,3,23,5,Rush,Queen,1,2,t,z
15,2023,3,28,1,Soulkey,Best,0,1,z,p
15,2023,3,28,2,Snow,Light,0,1,p,t
15,2023,3,28,3,Best,Light,2,1,p,t
15,2023,3,28,4,Soulkey,Snow,2,0,z,p
15,2023,3,28,5,Light,Soulkey,1,2,t,z
15,2023,3,29,1,hero,Ssak,1,0,z,t
15,2023,3,29,2,Mind,Bisu,1,0,t,p
15,2023,3,29,3,hero,Mind,1,2,z,t
15,2023,3,29,4,Ssak,Bisu,0,2,t,p
15,2023,3,29,5,hero,Bisu,2,0,z,p
15,2023,4,3,1,Best,Action,3,1,p,z
15,2023,4,4,1,Mind,Queen,3,2,t,z
15,2023,4,10,1,Jaedong,hero,0,3,z,z
15,2023,4,11,1,Jyj,Soulkey,3,2,t,z
15,2023,4,17,1,Best,Mind,2,4,p,t
15,2023,4,18,1,hero,Jyj,3,4,z,t
15,2023,4,28,1,Mind,Jyj,1,4,t,t
