ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
8,2019,6,30,1,Flash,Soma,1,0,t,z
8,2019,6,30,2,Guemchi,Sacsri,0,1,p,z
8,2019,6,30,3,Flash,Sacsri,0,1,t,z
8,2019,6,30,4,Soma,Guemchi,1,0,z,p
8,2019,6,30,5,Flash,Soma,1,0,t,z
8,2019,7,2,1,Larva,Noob,1,0,z,p
8,2019,7,2,2,Mong,Rush,0,1,t,t
8,2019,7,2,3,Larva,Rush,0,1,z,t
8,2019,7,2,4,Noob,Mong,1,0,p,t
8,2019,7,2,5,Larva,Noob,1,0,z,p
8,2019,7,7,1,Snow,Zelot,0,1,p,z
8,2019,7,7,2,Jaedong,Jaehoon,1,0,z,p
8,2019,7,7,3,Zelot,Jaedong,1,0,z,z
8,2019,7,7,4,Snow,Jaehoon,1,0,p,p
8,2019,7,7,5,Jaedong,Snow,0,1,z,p
8,2019,7,9,1,Soulkey,Ample,1,0,z,t
8,2019,7,9,2,Action,Piano,1,0,z,t
8,2019,7,9,3,Soulkey,Action,0,1,z,z
8,2019,7,9,4,Ample,Piano,1,0,t,t
8,2019,7,9,5,Soulkey,Ample,1,0,z,t
8,2019,7,14,1,Sharp,Hyuk,1,0,t,z
8,2019,7,14,2,Stork,Calm,1,0,p,z
8,2019,7,14,3,Sharp,Stork,0,1,t,p
8,2019,7,14,4,Hyuk,Calm,1,0,z,z
8,2019,7,14,5,Sharp,Hyuk,1,0,t,z
8,2019,7,16,1,Best,Jyj,1,0,p,t
8,2019,7,16,2,Light,Miso,1,0,t,z
8,2019,7,16,3,Best,Light,1,0,p,t
8,2019,7,16,4,Jyj,Miso,1,0,t,z
8,2019,7,16,5,Light,Jyj,1,0,t,t
8,2019,7,21,1,Last,Rush,1,0,t,t
8,2019,7,21,2,Sharp,Zelot,1,0,t,z
8,2019,7,21,3,Last,Sharp,2,0,t,t
8,2019,7,21,4,Rush,Zelot,2,0,t,z
8,2019,7,21,5,Sharp,Rush,2,1,t,t
8,2019,7,23,1,Mini,Larva,0,1,p,z
8,2019,7,23,2,Action,Light,1,0,z,t
8,2019,7,23,3,Larva,Action,1,2,z,z
8,2019,7,23,4,Mini,Light,0,2,p,t
8,2019,7,23,5,Larva,Light,0,2,z,t
8,2019,7,28,1,Rain,Snow,1,0,p,p
8,2019,7,28,2,Stork,Best,0,1,p,p
8,2019,7,28,3,Rain,Best,2,0,p,p
8,2019,7,28,4,Snow,Stork,2,1,p,p
8,2019,7,28,5,Best,Snow,0,2,p,p
8,2019,7,30,1,Horang2,Sacsri,0,1,p,z
8,2019,7,30,2,Flash,Soulkey,1,0,t,z
8,2019,7,30,3,Sacsri,Flash,0,2,z,t
8,2019,7,30,4,Horang2,Soulkey,0,2,p,z
8,2019,7,30,5,Sacsri,Soulkey,2,0,z,z
8,2019,8,4,1,Last,Snow,0,3,t,p
8,2019,8,6,1,Action,Sharp,3,2,z,t
8,2019,8,11,1,Flash,Light,3,1,t,t
8,2019,8,13,1,Rain,Sacsri,3,0,p,z
8,2019,8,20,1,Snow,Action,3,1,p,z
8,2019,8,21,1,Flash,Rain,3,0,t,p
8,2019,8,25,1,Action,Rain,1,3,z,p
8,2019,9,1,1,Snow,Flash,0,4,p,t
